TrackName	FilePath	Played	Favourite	FileURL
1 Mix House	http://www.internetradiouk.com/mobile/1mix/	0	Radio Indexed Db	http://listen.1mix.co.uk/
1 Mix House	http://www.internetradiouk.com/mobile/1mix/	0	Radio Stream	http://fr5.1mix.co.uk:8020/listen.pls
Absolute 80s	https://tunein.com/radio/Absolute-80s-s117787/	0	Radio Indexed Db	https://tunein.com/radio/Absolute-80s-s117787/
Absolute 80s	http://www.internetradiouk.com/mobile/absolute-80s/	0	Radio Stream	http://icy-e-bab-09-boh.sharp-stream.com/absolute80s.aac.m3u
Absolute Classic Rock	https://player.absoluteradio.co.uk/classic-rock/	0	Radio Indexed Db	https://player.absoluteradio.co.uk/classic-rock/
Absolute Classic Rock	http://www.internetradiouk.com/mobile/classic-rock/	0	Radio Stream	http://icy-e-bab-09-boh.sharp-stream.com/absoluteclassicrock.aac.m3u
Absolute Radio	http://www.internetradiouk.com/mobile/absolute/	0	Radio Stream	http://icy-e-bab-02-gos.sharp-stream.com/absoluteradio.aac.m3u
Amazing FM	https://tunein.com/radio/Amazing-Radio-s105824/	0	Radio Indexed Db	https://tunein.com/radio/Amazing-Radio-s105824/
Amazing FM	http://www.internetradiouk.com/mobile/amazing/	0	Radio Stream	http://109.74.195.10:8000/stream.mp3?redirected=1
Arrow FM	http://www.internetradiouk.com/mobile/arrowfm/	0	Radio Stream	http://s3.xrad.io:8092/listen.pls?sid=1
BBC Radio 1	https://tunein.com/radio/BBC-Radio-1-988-s24939/	0	Radio Indexed Db	https://tunein.com/radio/BBC-Radio-1-988-s24939/
BBC Radio 1	http://www.internetradiouk.com/mobile/bbc-1	0	Radio Stream	http://a.files.bbci.co.uk/media/live/manifesto/audio/simulcast/hls/nonuk/low/ak/bbc_radio_one.m3u8
BBC Radio 1 Xtra	https://tunein.com/radio/BBC-Radio-1Xtra-s20277/	0	Radio Indexed Db	https://tunein.com/radio/BBC-Radio-1Xtra-s20277/
BBC Radio 1 Xtra	http://www.internetradiouk.com/mobile/1xtra/	0	Radio Stream	http://a.files.bbci.co.uk/media/live/manifesto/audio/simulcast/hls/nonuk/low/ak/bbc_1xtra.m3u8
BBC Radio 2	https://tunein.com/radio/BBC-Radio-2-891-s24940/	0	Radio Indexed Db	https://tunein.com/radio/BBC-Radio-2-891-s24940/
